GeoFIPS,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
" ""01107""",47404,35280,41508,58404,64747,29297,46775,34890,45211,42941,6844,13897,55267,52904,53694,47143,42414,43431,33413,16032,43570,68643,59261
" ""01109""",(D),(D),(D),(D),(D),(D),33347,38985,47260,53222,23041,40215,66855,(D),(D),(D),(D),42075,27687,12166,51358,93458,48301
" ""01111""",19886,26981,28144,39323,39310,24372,32208,12122,22858,29364,8721,9866,45500,57479,70381,50505,64434,68498,48989,21170,68255,123202,90989
" ""01113""",20687,20583,26559,22447,19454,23145,6470,16287,19633,16571,20536,18678,27962,12671,7892,8853,7759,7742,6766,5861,9738,14678,7779
" ""01115""",22190,19826,24468,32443,27046,15968,15912,10573,16217,16702,3664,11562,23407,22628,23014,10885,14835,17937,14530,6898,19346,36945,26122
" ""01117""",13019,13123,18415,21887,13637,15278,19494,23577,31171,31790,32609,33936,33513,28321,29248,18706,18239,18864,33963,41705,32741,34388,42750
" ""01119""",16426,13457,18901,22964,21361,24603,36038,26680,39870,47634,67859,75869,76839,63806,41668,45149,38712,39088,36857,44288,29127,31168,53225
" ""01121""",15533,11162,18311,29914,39497,32385,9072,15025,7942,3103,2730,6555,18067,12239,9342,6639,11080,8215,(D),2898,13831,20188,10917
" ""01123""",6162,6748,7608,7803,7718,6138,5349,4865,5816,4569,5114,4644,9049,9673,12676,13915,14409,14684,13956,12475,13584,17973,16314
" ""01125""",16781,13370,19254,27628,22025,18759,16411,14700,15242,15756,10673,14519,34654,20050,18336,11153,16012,15617,14982,18295,21750,29114,16626
" ""01127""",32341,24596,32995,37600,35991,24142,(D),(D),(D),(D),6619,10770,(D),25540,28450,(D),23769,24934,(D),7449,24140,43739,30498
" ""01129""",23749,22289,23533,34769,20992,16791,37674,22203,27464,25936,17694,18513,29410,32659,32712,31756,33571,35952,30060,27145,33262,42561,42617
" ""01131""",18888,19320,18489,24359,24286,30502,27422,20111,21115,22911,27361,22629,56036,27305,22598,32236,32274,33281,31985,37809,26845,29056,45560
" ""01133""",33482,26112,31397,48628,46966,23837,14989,13343,14077,19438,(D),14087,(D),(D),14705,(D),(D),5713,9987,10321,3168,11612,1879
" ""02000""",349002,313777,357205,324668,369552,400445,374264,446412,425859,540421,623834,553362,576411,545904,516982,442684,439379,437838,458784,398452,391667,518933,498930
" ""02013""",(D),(D),(D),(D),(D),(D),(D),12453,(D),(D),(D),12650,13517,9820,13364,(D),(D),(D),(D),(D),8453,10671,12711
" ""02016""",(D),(D),9824,6870,8968,8639,14612,25342,18857,16150,21197,(D),30811,21294,16174,17262,13927,19261,20156,10735,14377,31526,20771
" ""02020""",14509,12553,10308,15860,18453,21263,23234,30286,32834,55046,111570,51576,49942,53554,57943,62592,60385,48812,45987,38225,36075,49082,48673
" ""02050""",(D),(D),(D),(D),(D),(D),269,629,(D),(D),1532,(D),(D),(D),(D),(D),322,43,(D),(D),285,790,980
" ""02060""",786,708,711,320,489,1100,1053,770,889,(D),(D),(D),(D),(D),1989,(D),(D),(D),5522,6104,5050,5535,5944
" ""02063""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),20589,23596,24215,27804
" ""02066""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(D),963,1725,2140
" ""02068""",4,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),69,113,140
" ""02070""",756,673,1088,(D),5119,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),12732,16937,21014
" ""02090""",4114,4657,7962,6119,8307,9116,8874,931,(D),(D),(D),(D),(D),5154,2335,5194,2889,4391,4562,(D),3437,5905,5287
" ""02100""",(D),937,(D),(D),(D),(D),(D),2736,2239,3489,(D),(D),(D),(D),(D),3493,(D),(D),(D),(D),2991,4625,5655
" ""02105""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(D),2138,(D),(D),(D),(D),(D),(D),(D),(D),2862,(D),(D),3842,4330,5372
" ""02110""",13032,(D),5401,9495,13505,(D),(D),(D),25247,23926,25023,24616,(D),(D),(D),(D),(D),(D),(D),15869,13905,23098,21346
" ""02122""",32543,29938,42744,50456,53590,56443,40743,45597,46122,72800,72843,73585,72068,62464,72397,59666,60026,54894,62655,63989,78471,75883,84084
" ""02130""",27028,23866,29602,22929,23716,26444,46863,77585,67447,49510,56276,46519,40373,(D),(D),(D),(D),(D),(D),(D),18576,24115,17455
" ""02150""",70721,66651,81349,73949,74270,73771,65082,79206,(D),88519,99431,105215,114445,(D),(D),86045,(D),85058,88456,(D),76511,100509,82824
" ""02158""",499,450,341,224,403,748,130,0,0,190,66,638,319,762,558,426,1202,1734,875,85,30,185,403
" ""02164""",1068,(D),(D),(D),(D),(D),(D),2208,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),2018,2892,3621
" ""02170""",(D),(D),24155,(D),(D),18582,14970,13963,14167,15976,17105,(D),17766,16763,18710,(D),16649,19662,22336,(D),20911,26733,31518
" ""02180""",(D),141,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),735,1116,1385
" ""02185""",39,36,19,53,118,38,81,169,411,407,338,225,237,180,244,170,129,66,125,274,436,553,686
" ""02188""",(D),(D),(D),43,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),174,400,496
" ""02195""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),32007,53451,(D),(D),50480,43189,39633,32243,30685,36911,36725,32578,23078,32675,39887
" ""02198""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),25505,28698,40089,35900,45303,39078,17367,14905,20290,27608,31904,22675,16590,21906,14582
" ""02201""",9449,7734,13405,17658,20601,15946,11332,17150,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02220""",(D),20598,22957,21257,25068,(D),(D),(D),(D),27894,25838,(D),(D),30873,35891,29182,25772,(D),(D),(D),14656,35360,32727
" ""02230""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),352,298,512,432,367,257,(D),174,179,181,71,127,30,114,141,175
" ""02232""",15688,(D),(D),(D),(D),(D),4123,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02240""",843,948,1094,1005,1185,1582,1774,2210,(D),(D),(D),(D),(D),1700,(D),(D),934,1295,2135,2049,2115,3256,2397
" ""02261""",13285,11452,15365,12684,21034,18792,17765,22506,25393,44415,35849,(D),32966,32834,41050,25025,24013,20596,(D),(NA),(NA),(NA),(NA)
" ""02275""",(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(D),(D),7535,8013,13866,13552,10348,8067,6060,5533,5200,(D),2763,4039,4526
" ""02280""",66759,57293,55541,45034,49418,61022,56987,51843,(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA),(NA)
" ""02282""",(D),166,200,(D),547,5157,9832,3586,250,491,888,1148,1269,1240,1625,1221,963,840,(D),3662,5539,6805,2450
" ""02290""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),615,(D),(D),(D),(D),3175,3813,1876
" ""04000""",1533760,1615281,1623886,2204380,2021239,1838802,2150261,1611397,1318101,1648975,2378965,1885792,2391905,2010711,2139757,2410034,2392939,2263795,2337948,1779651,1915644,3126369,2774032
" ""04001""",(D),(D),(D),(D),(D),(D),(D),(D),29210,16960,3959,8891,(D),(D),(D),2661,2715,46724,1680,(D),14037,721,2200
" ""04003""",70551,27636,35469,37457,29697,6830,27993,14267,25640,20286,(D),9887,76281,44488,72656,68603,12979,15113,43050,14081,34292,102095,42466
" ""04005""",21776,3816,4329,4590,3615,8314,74489,49356,23197,21324,15620,3209,5783,11074,14374,11658,24009,72300,13771,63139,136667,59278,47705
" ""04007""",8964,1136,1940,1526,624,3038,1865,3629,4467,(D),277,(D),1233,8337,(D),3511,(D),(D),(D),(D),28692,13829,14704
" ""04009""",(D),6005,(D),53068,50469,38878,36661,17839,22098,(D),(D),(D),8397,17523,9710,13595,10509,(D),9484,16877,20848,39055,11662
" ""04011""",(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3849,(D),(D),7805,9122,10224,13923,7006,(D),15490,13255,15678
" ""04012""",40598,27755,23433,35764,42905,21867,77960,(D),26405,16313,(D),30035,(D),(D),56290,57627,18269,18425,36616,(D),84585,64135,19855
" ""04013""",358324,265140,379642,591213,521419,534265,354109,381965,132712,161251,370646,400356,451899,409565,392546,456614,474940,373056,469662,271581,165490,660987,424892
" ""04015""",14538,5705,11630,14756,11083,7575,(D),(D),(D),(D),18386,4926,(D),(D),27689,25524,32297,(D),(D),(D),66732,46669,34994
" ""04017""",64999,60200,68927,63781,46824,18134,9234,12734,20483,6853,12519,22939,18464,9024,9580,11413,16038,63591,23793,39148,65031,42109,33943
" ""04019""",8090,8087,28136,42712,50474,45003,5418,5071,87447,82919,91953,88344,53890,31772,40367,40455,(D),46442,42286,46062,65305,79401,56194
" ""04021""",157043,180361,304019,333727,237581,134640,333351,192229,127186,44371,345489,288487,443313,441990,320788,399263,345100,339128,304870,122264,203732,472617,512429
" ""04023""",11901,13532,16280,13729,13841,15504,6599,9323,7492,7436,(D),5084,3192,3614,13630,17855,17660,18563,23830,24093,20070,25041,29435
" ""04025""",62495,11131,36701,42888,39910,23530,8430,16430,30745,14865,4962,4106,1714,2796,3563,6352,5028,6051,4154,5756,16127,21029,8211
" ""04027""",664313,996293,663960,957447,964414,968194,1201388,848615,762431,1215175,1310347,856629,1245312,976534,1160261,1285780,1381465,(D),1326874,1054178,978546,1486148,1519664
" ""05000""",2345190,1951455,2694930,3856328,2908155,2767776,3087466,2994838,2276832,2134471,2262188,2580022,3928663,3590680,2821231,2425681,2971719,2831445,1843716,1693734,3650380,5597030,4409971
