state,date,precip_mm
Tennessee,2002-04-01T00:00:00.000000000,61.80307363841444
Louisiana,2002-04-01T00:00:00.000000000,94.46062682327653
New York,2002-04-01T00:00:00.000000000,103.30380345654093
Michigan,2002-04-01T00:00:00.000000000,90.92056860513244
Idaho,2002-04-01T00:00:00.000000000,50.681129220641324
Florida,2002-04-01T00:00:00.000000000,61.665467596788815
Alaska,2002-04-01T00:00:00.000000000,
Illinois,2002-04-01T00:00:00.000000000,129.6154595235407
Montana,2002-04-01T00:00:00.000000000,31.604349379901866
Minnesota,2002-04-01T00:00:00.000000000,56.34896658629005
Indiana,2002-04-01T00:00:00.000000000,141.51944493160295
Massachusetts,2002-04-01T00:00:00.000000000,95.65611459118313
Kansas,2002-04-01T00:00:00.000000000,59.28774806293485
Nevada,2002-04-01T00:00:00.000000000,22.181346070185615
Vermont,2002-04-01T00:00:00.000000000,113.14876703439325
Connecticut,2002-04-01T00:00:00.000000000,95.26759259259259
New Jersey,2002-04-01T00:00:00.000000000,97.23037699244966
District of Columbia,2002-04-01T00:00:00.000000000,99.17325846354167
North Carolina,2002-04-01T00:00:00.000000000,47.87512830162858
Utah,2002-04-01T00:00:00.000000000,22.299605688996333
North Dakota,2002-04-01T00:00:00.000000000,32.375040257648955
South Carolina,2002-04-01T00:00:00.000000000,46.71963062486077
Mississippi,2002-04-01T00:00:00.000000000,71.9805413313826
Colorado,2002-04-01T00:00:00.000000000,14.497274731832837
South Dakota,2002-04-01T00:00:00.000000000,32.63277012629785
Oklahoma,2002-04-01T00:00:00.000000000,104.78523287274133
Wyoming,2002-04-01T00:00:00.000000000,34.23077699137021
West Virginia,2002-04-01T00:00:00.000000000,153.00351666666666
Maine,2002-04-01T00:00:00.000000000,111.9628490990991
Hawaii,2002-04-01T00:00:00.000000000,
New Hampshire,2002-04-01T00:00:00.000000000,115.15560619686069
Arizona,2002-04-01T00:00:00.000000000,4.484714837178563
Rhode Island,2002-04-01T00:00:00.000000000,91.97553393121302
Maryland,2002-05-01T00:00:00.000000000,84.73066010777269
Iowa,2002-05-01T00:00:00.000000000,103.77215753424657
Delaware,2002-05-01T00:00:00.000000000,81.37593158922698
Ohio,2002-05-01T00:00:00.000000000,131.59562269514444
Pennsylvania,2002-05-01T00:00:00.000000000,144.52651043826904
Nebraska,2002-05-01T00:00:00.000000000,61.40711128967457
Washington,2002-05-01T00:00:00.000000000,50.82606678067907
Puerto Rico,2002-05-01T00:00:00.000000000,
Alabama,2002-05-01T00:00:00.000000000,104.37883099824869
Arkansas,2002-05-01T00:00:00.000000000,156.24073366450133
New Mexico,2002-05-01T00:00:00.000000000,3.4414600823349084
Texas,2002-05-01T00:00:00.000000000,48.31871783590646
California,2002-05-01T00:00:00.000000000,15.257738033026756
Kentucky,2002-05-01T00:00:00.000000000,158.2920610313316
Georgia,2002-05-01T00:00:00.000000000,80.38200699217825
Wisconsin,2002-05-01T00:00:00.000000000,76.38772411415235
Oregon,2002-05-01T00:00:00.000000000,27.03058063271605
Missouri,2002-05-01T00:00:00.000000000,243.4647782333209
Virginia,2002-05-01T00:00:00.000000000,89.63084283387622
Tennessee,2002-05-01T00:00:00.000000000,141.00809700290043
Louisiana,2002-05-01T00:00:00.000000000,61.443310494395824
New York,2002-05-01T00:00:00.000000000,135.53339851141666
Michigan,2002-05-01T00:00:00.000000000,96.97122050910596
Idaho,2002-05-01T00:00:00.000000000,39.59595986409004
Florida,2002-05-01T00:00:00.000000000,59.53668425482326
Alaska,2002-05-01T00:00:00.000000000,
Illinois,2002-05-01T00:00:00.000000000,185.56380546460426
Montana,2002-05-01T00:00:00.000000000,51.72346231116949
Minnesota,2002-05-01T00:00:00.000000000,57.79939717533586
Indiana,2002-05-01T00:00:00.000000000,179.57385566467906
Massachusetts,2002-05-01T00:00:00.000000000,137.9984457422758
Kansas,2002-05-01T00:00:00.000000000,99.0180660974067
Nevada,2002-05-01T00:00:00.000000000,10.302725311774942
Vermont,2002-05-01T00:00:00.000000000,115.71288935756003
Connecticut,2002-05-01T00:00:00.000000000,132.3158564814815
New Jersey,2002-05-01T00:00:00.000000000,108.3988307466443
District of Columbia,2002-05-01T00:00:00.000000000,76.80843098958333
North Carolina,2002-05-01T00:00:00.000000000,70.83560284658546
Utah,2002-05-01T00:00:00.000000000,9.751615749044685
North Dakota,2002-05-01T00:00:00.000000000,32.524952194041866
South Carolina,2002-05-01T00:00:00.000000000,88.69425957897082
Mississippi,2002-05-01T00:00:00.000000000,119.14235552304316
Colorado,2002-05-01T00:00:00.000000000,14.662186879960318
South Dakota,2002-05-01T00:00:00.000000000,41.482324112815746
Oklahoma,2002-05-01T00:00:00.000000000,90.54783674751184
Wyoming,2002-05-01T00:00:00.000000000,32.012517849382256
West Virginia,2002-05-01T00:00:00.000000000,128.68289166666668
Maine,2002-05-01T00:00:00.000000000,86.24268018018019
Hawaii,2002-05-01T00:00:00.000000000,
New Hampshire,2002-05-01T00:00:00.000000000,119.00212557226946
Arizona,2002-05-01T00:00:00.000000000,0.1599947217277998
Rhode Island,2002-05-01T00:00:00.000000000,143.0871163091716
Maryland,2002-06-01T00:00:00.000000000,70.93603037230568
Iowa,2002-06-01T00:00:00.000000000,89.24179452054794
Delaware,2002-06-01T00:00:00.000000000,74.33938116776316
Ohio,2002-06-01T00:00:00.000000000,90.63095421020283
Pennsylvania,2002-06-01T00:00:00.000000000,123.30941518042306
Nebraska,2002-06-01T00:00:00.000000000,37.26703997589394
Washington,2002-06-01T00:00:00.000000000,45.88895261533328
Puerto Rico,2002-06-01T00:00:00.000000000,
Alabama,2002-06-01T00:00:00.000000000,95.56099286002964
Arkansas,2002-06-01T00:00:00.000000000,65.36396239332569
New Mexico,2002-06-01T00:00:00.000000000,18.63134738159523
Texas,2002-06-01T00:00:00.000000000,60.611317761245765
California,2002-06-01T00:00:00.000000000,1.7500440922867893
Kentucky,2002-06-01T00:00:00.000000000,95.39631609007833
Georgia,2002-06-01T00:00:00.000000000,88.91476060677886
Wisconsin,2002-06-01T00:00:00.000000000,143.11176532993846
Oregon,2002-06-01T00:00:00.000000000,27.37354938271605
Missouri,2002-06-01T00:00:00.000000000,74.81905749161386
Virginia,2002-06-01T00:00:00.000000000,64.54691571661238
Tennessee,2002-06-01T00:00:00.000000000,62.1829479535933
Louisiana,2002-06-01T00:00:00.000000000,122.09758367879625
New York,2002-06-01T00:00:00.000000000,138.23196038854547
Michigan,2002-06-01T00:00:00.000000000,76.85197640728477
Idaho,2002-06-01T00:00:00.000000000,36.75238683018334
Florida,2002-06-01T00:00:00.000000000,257.68690923216366
Alaska,2002-06-01T00:00:00.000000000,
Illinois,2002-06-01T00:00:00.000000000,102.44195269278536
Montana,2002-06-01T00:00:00.000000000,86.05457249932388
Minnesota,2002-06-01T00:00:00.000000000,156.3787977953841
Indiana,2002-06-01T00:00:00.000000000,83.15703919677306
